Year,0-14,15-49,50-64,65-79,80+
2010,0.512,352.48400000000004,0.044,0,0
2011,0.569,361.254,0.039,0,0
2012,0.602,373.16900000000004,0.032,0,0
2013,0.619,385.43,0.023,0,0
2014,0.607,397.738,0.014,0,0
2015,0.562,406.10999999999996,0.011,0,0
2016,0.519,413.428,0.009,0,0
2017,0.5,406.697,0.017,0,0
2018,0.486,384.92699999999996,0.032,0,0
2019,0.471,353.755,0.051,0,0
2020,0.455,340.092,0.06,0,0
2021,0.435,341.673,0.065,0,0
2022,0.42,340.181,0.066,0,0
2023,0.398,337.91400000000004,0.066,0,0
2024,0.392,335.459,0.068,0,0
2025,0.383,332.49500000000006,0.069,0,0
2026,0.377,330.115,0.072,0,0
2027,0.376,328.382,0.073,0,0
2028,0.38,326.692,0.074,0,0
2029,0.388,325.483,0.076,0,0
2030,0.397,324.209,0.077,0,0
2031,0.399,323.55199999999996,0.078,0,0
2032,0.388,323.22400000000005,0.077,0,0
2033,0.366,323.55699999999996,0.077,0,0
2034,0.345,324.5279999999999,0.077,0,0
2035,0.333,325.211,0.076,0,0
2036,0.324,325.605,0.075,0,0
2037,0.314,325.502,0.072,0,0
2038,0.302,325.296,0.069,0,0
2039,0.29,325.522,0.068,0,0
2040,0.277,326.41700000000003,0.067,0,0
2041,0.263,326.89400000000006,0.065,0,0
2042,0.25,326.80300000000005,0.063,0,0
2043,0.237,326.828,0.06,0,0
2044,0.224,326.48900000000003,0.057,0,0
2045,0.211,326.70300000000003,0.055,0,0
2046,0.198,327.091,0.053,0,0
2047,0.187,326.921,0.052,0,0
2048,0.175,326.756,0.051,0,0
2049,0.165,325.94,0.049,0,0
2050,0.154,325.544,0.047,0,0
2051,0.145,325.663,0.045,0,0
2052,0.135,325.987,0.043,0,0
2053,0.127,326.37899999999996,0.041,0,0
2054,0.118,326.09899999999993,0.039,0,0
2055,0.11,325.508,0.037,0,0
2056,0.102,325.279,0.035,0,0
2057,0.095,325.423,0.033,0,0
2058,0.087,325.609,0.03,0,0
2059,0.081,325.62399999999997,0.028,0,0
2060,0.074,325.35800000000006,0.026,0,0
