Year,0-14,15-49,50-64,65-79,80+
2010,8.79288092523867,25.5379732532504,17.297503603228094,30.3258724331708,18.045769785112
2011,8.52106997441539,24.8514200953699,17.589670585658702,30.230659724641797,18.808175130163
2012,8.31643402361463,23.977283380454,17.8950121132279,30.187347967888797,19.6244159253174
2013,8.0978687509447,23.2131102778766,18.145603658863607,30.1188253019391,20.4255671872486
2014,7.88590442668513,22.4479001375225,18.272217574026506,30.178971562659296,21.2145254512757
2015,7.63533492550893,21.7104514955078,18.245574130937506,30.4072368171652,22.0018764926646
2016,7.33486657107209,21.0967615784279,18.192610663140798,30.622544181455897,22.7536825639211
2017,6.94242675599998,20.3245512329922,18.20731500533889,30.9428117080413,23.5824370213878
2018,6.33455670696603,19.8690270581462,18.239511370178406,31.2099704951065,24.3473841393207
2019,5.73356416744351,18.9932081502197,18.3783903759932,31.685976827806698,25.2075287432858
2020,3.83618054885307,16.5463436605218,18.578965994273396,32.8311295563492,28.2077019592703
2021,3.83137820955884,18.9144964203393,20.898660399983306,32.8550808035671,23.5003841665515
2022,4.5152081535498,18.3994732257154,19.291881214034795,33.5855415182387,24.2083048747071
2023,4.45676791194835,17.0219070801143,19.126680071965303,33.994285109535404,25.3999365012171
2024,4.08315231700895,17.3146228278041,18.037865323854703,35.0702672459189,25.4949150868878
2025,3.75816862767055,16.6608009854344,17.77861319298359,35.537229745402804,26.2651874485086
2026,3.46985476112642,16.0062423138592,17.525568579834705,35.959463877084005,27.0384812964087
2027,3.20461112562818,15.3580476942478,17.279223803951396,36.304661493541204,27.8530771765187
2028,2.96667514814938,14.7194288643295,17.0710121358955,36.549659081271,28.6943310507082
2029,2.74083696362057,14.0669743140731,16.911157840343904,36.4626768195095,29.8179952202215
2030,2.53436981395755,13.4030919730981,16.816141147698502,36.060092584505206,31.1859551052494
2031,2.33669368571623,12.7160956338124,16.728765070499293,35.62052993665281,32.5982562495743
2032,2.16147847650791,12.0499686285185,16.6398321542747,35.17855186585621,33.9701688748427
2033,2.00833244311505,11.3951177192284,16.537342229041812,34.82825261481389,35.2299838465846
2034,1.87538096636758,10.7204330620379,16.4135312937223,34.6386464916353,36.3520081862369
2035,1.75896669184174,10.0433113950585,16.2866258727786,34.5335162379198,37.3781963347154
2036,1.65306177753823,9.38662073824715,16.1265360075396,34.4779305714054,38.3561520094185
2037,1.55237958032829,8.77182666270732,15.961578605386904,34.4072585505831,39.3075446235627
2038,1.46158665202973,8.20138054704608,15.813068642270494,34.257050733092306,40.266338676583
2039,1.37752881551054,7.65222030352806,15.650086341237397,34.055791882519806,41.2640918726923
2040,1.3000038469782,7.13724369507752,15.456059265446996,33.8393941558906,42.2678486049208
2041,1.22786971191977,6.65958676686069,15.208700211052701,33.6055061904314,43.2980682627808
2042,1.1574232463643,6.22976877852109,14.907285081924897,33.404477054176304,44.3013090093741
2043,1.09369961952667,5.85825756110144,14.5493003159864,33.2925775456245,45.2064229057845
2044,1.03435715044597,5.52694286624945,14.111677181408396,33.315204468301395,46.0123242554096
2045,0.976155232732565,5.23012915399053,13.578153164880192,33.471686043484404,46.7433805170623
2046,0.922774502910888,4.96663366119846,12.959228109954395,33.638816376875404,47.5125473490608
2047,0.869797556169455,4.72543883505337,12.306227903181906,33.7882713310336,48.3107414988382
2048,0.81887289231424,4.49959196653424,11.636085591157396,33.886653213643605,49.1583286762178
2049,0.77034966957199,4.28857761335914,10.917295644306009,33.890575070724196,50.1329729358271
2050,0.723494496370185,4.08918012185407,10.17492678657591,33.846706237447094,51.1656923577528
2051,0.67975814227261,3.90350289583558,9.448089099929902,33.717760905231394,52.2508889567305
2052,0.637968491289566,3.73070538257655,8.76555357708051,33.60993706439759,53.2556201729814
2053,0.597528586382583,3.56558386988747,8.129084709207703,33.566278915476104,54.1417345389215
2054,0.559810703184902,3.40853814380292,7.517664130067402,33.5158832889497,54.9987220816054
2055,0.524549184045802,3.25595460089306,6.943120079831502,33.4052354121097,55.8717455069601
2056,0.490461064967349,3.10533272831298,6.427880916211208,33.190561682482794,56.7855663187799
2057,0.458825391555451,2.9571750099409,5.984997934610192,32.899344093950106,57.6996575699434
2058,0.430151345354931,2.81711398633326,5.614984359848009,32.483595763386596,58.6539658822064
2059,0.403421606042646,2.68030730202339,5.3046710129112995,31.872522465136804,59.7387083492579
2060,0.379241661013524,2.5487854163359,5.0493988424289,31.034308560541504,60.9884459391193
